trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
T4TOR0215,460.0,460.0,10,3,0
T4TOR0515,460.0,460.0,10,3,0
T4TOR1415,460.0,460.0,10,3,0
T4TOR1715,460.0,460.0,10,2,0
T4TOR1815,460.0,460.0,10,2,0
T4ANA0111,464.0,464.0,10,12,0
T4ANA0211,464.0,464.0,10,12,0
T4ANA0511,464.0,464.0,10,12,0
T4ANA1411,464.0,464.0,10,12,0
T4ANA1711,464.0,464.0,10,12,0
T4ANA1811,464.0,464.0,10,12,0
T4TOR0116,467.0,467.0,10,3,0
T4TOR0216,467.0,467.0,10,3,0
T4TOR038,467.0,467.0,10,3,0
T4TOR048,467.0,467.0,10,3,0
T4TOR0516,467.0,467.0,10,3,0
T4TOR068,467.0,467.0,10,3,0
T4TOR1416,467.0,467.0,10,3,0
T4TOR158,467.0,467.0,10,3,0
T4TOR168,467.0,467.0,10,3,0
T4TOR1716,467.0,467.0,10,2,0
T4TOR1816,467.0,467.0,10,2,0
T4TOR198,467.0,467.0,10,2,0
T4ANA0112,472.0,472.0,10,12,0
T4ANA0212,472.0,472.0,10,12,0
T4ANA0512,472.0,472.0,10,12,0
T4ANA1412,472.0,472.0,10,12,0
T4ANA1712,472.0,472.0,10,12,0
T4ANA1812,472.0,472.0,10,12,0
T4ANA037,473.0,473.0,10,12,0
T4ANA047,473.0,473.0,10,12,0
T4ANA067,473.0,473.0,10,12,0
T4ANA157,473.0,473.0,10,12,0
T4ANA167,473.0,473.0,10,12,0
T4ANA197,473.0,473.0,10,12,0
T4TOR0117,475.0,475.0,10,3,0
T4TOR0217,475.0,475.0,10,3,0
T4TOR0517,475.0,475.0,10,3,0
T4TOR1417,475.0,475.0,10,3,0
T4TOR1717,475.0,475.0,10,2,0
T4TOR1817,475.0,475.0,10,2,0
T4ANA0113,480.0,480.0,10,12,0
T4ANA0213,480.0,480.0,10,12,0
T4ANA0513,480.0,480.0,10,12,0
T4ANA1413,480.0,480.0,10,12,0
T4ANA1713,480.0,480.0,10,12,0
T4ANA1813,480.0,480.0,10,12,0
T4TOR0118,483.0,483.0,10,3,0
T4TOR0218,483.0,483.0,10,3,0
T4TOR0518,483.0,483.0,10,3,0
T4TOR1418,483.0,483.0,10,3,0
T4TOR1718,483.0,483.0,10,2,0
T4TOR1818,483.0,483.0,10,2,0
T4TOR039,485.0,485.0,10,3,0
T4TOR049,485.0,485.0,10,3,0
T4TOR069,485.0,485.0,10,3,0
T4TOR159,485.0,485.0,10,3,0
T4TOR169,485.0,485.0,10,3,0
T4TOR199,485.0,485.0,10,2,0
T4ANA0114,488.0,488.0,10,12,0
T4ANA0214,488.0,488.0,10,12,0
T4ANA0514,488.0,488.0,10,12,0
T4ANA1414,488.0,488.0,10,12,0
T4ANA1714,488.0,488.0,10,12,0
T4ANA1814,488.0,488.0,10,12,0
T4TOR0119,491.0,491.0,10,3,0
T4TOR0219,491.0,491.0,10,3,0
T4TOR0519,491.0,491.0,10,3,0
T4TOR1419,491.0,491.0,10,3,0
T4TOR1719,491.0,491.0,10,2,0
T4TOR1819,491.0,491.0,10,2,0
T4ANA0115,496.0,496.0,10,12,0
T4ANA0215,496.0,496.0,10,12,0
T4ANA038,496.0,496.0,10,12,0
T4ANA048,496.0,496.0,10,12,0
T4ANA0515,496.0,496.0,10,12,0
T4ANA068,496.0,496.0,10,12,0
T4ANA1415,496.0,496.0,10,12,0
T4ANA158,496.0,496.0,10,12,0
T4ANA168,496.0,496.0,10,12,0
T4ANA1715,496.0,496.0,10,12,0
T4ANA1815,496.0,496.0,10,12,0
T4ANA198,496.0,496.0,10,12,0
T4TOR0120,499.0,499.0,10,3,0
T4TOR0220,499.0,499.0,10,3,0
T4TOR0520,499.0,499.0,10,3,0
T4TOR1420,499.0,499.0,10,3,0
T4TOR1720,499.0,499.0,10,2,0
T4TOR1820,499.0,499.0,10,2,0
T4ANA0116,504.0,504.0,10,12,0
T4ANA0216,504.0,504.0,10,12,0
T4ANA0516,504.0,504.0,10,12,0
T4ANA1416,504.0,504.0,10,12,0
T4ANA1716,504.0,504.0,10,12,0
T4ANA1816,504.0,504.0,10,12,0
T4TOR0310,505.0,505.0,10,3,0
T4TOR0410,505.0,505.0,10,3,0
T4TOR0610,505.0,505.0,10,3,0
T4TOR1510,505.0,505.0,10,3,0
T4TOR1610,505.0,505.0,10,3,0
T4TOR1910,505.0,505.0,10,2,0
T4TOR0121,507.0,507.0,10,3,0
T4TOR0221,507.0,507.0,10,3,0
T4TOR0521,507.0,507.0,10,3,0
T4TOR1421,507.0,507.0,10,3,0
T4TOR1721,507.0,507.0,10,2,0
T4TOR1821,507.0,507.0,10,2,0
T4ANA0117,512.0,512.0,10,12,0
T4ANA0217,512.0,512.0,10,12,0
T4ANA0517,512.0,512.0,10,12,0
T4ANA1417,512.0,512.0,10,12,0
T4ANA1717,512.0,512.0,10,12,0
T4ANA1817,512.0,512.0,10,12,0
T4ANA039,515.0,515.0,10,12,0
T4ANA049,515.0,515.0,10,12,0
T4ANA069,515.0,515.0,10,12,0
T4ANA159,515.0,515.0,10,12,0
T4ANA169,515.0,515.0,10,12,0
T4ANA199,515.0,515.0,10,12,0
T4TOR0122,515.0,515.0,10,3,0
T4TOR0222,515.0,515.0,10,3,0
T4TOR0522,515.0,515.0,10,3,0
T4TOR1422,515.0,515.0,10,3,0
T4TOR1722,515.0,515.0,10,2,0
T4TOR1822,515.0,515.0,10,2,0
T4ANA0118,520.0,520.0,10,12,0
T4ANA0218,520.0,520.0,10,12,0
T4ANA0518,520.0,520.0,10,12,0
T4ANA1418,520.0,520.0,10,12,0
T4ANA1718,520.0,520.0,10,12,0
T4ANA1818,520.0,520.0,10,12,0
T4TOR0123,523.0,523.0,10,3,0
T4TOR0223,523.0,523.0,10,3,0
T4TOR0523,523.0,523.0,10,3,0
T4TOR1423,523.0,523.0,10,3,0
T4TOR1723,523.0,523.0,10,2,0
T4TOR1823,523.0,523.0,10,2,0
T4TOR0311,525.0,525.0,10,3,0
T4TOR0411,525.0,525.0,10,3,0
T4TOR0611,525.0,525.0,10,3,0
T4TOR1511,525.0,525.0,10,3,0
T4TOR1611,525.0,525.0,10,3,0
T4TOR1911,525.0,525.0,10,2,0
T4ANA0119,528.0,528.0,10,12,0
T4ANA0219,528.0,528.0,10,12,0
T4ANA0519,528.0,528.0,10,12,0
T4ANA1419,528.0,528.0,10,12,0
T4ANA1719,528.0,528.0,10,12,0
T4ANA1819,528.0,528.0,10,12,0
T4TOR0124,531.0,531.0,10,3,0
T4TOR0224,531.0,531.0,10,3,0
T4TOR0524,531.0,531.0,10,3,0
T4TOR1424,531.0,531.0,10,3,0
T4TOR1724,531.0,531.0,10,2,0
T4TOR1824,531.0,531.0,10,2,0
T4ANA0310,534.0,534.0,10,12,0
T4ANA0410,534.0,534.0,10,12,0
T4ANA0610,534.0,534.0,10,12,0
T4ANA1510,534.0,534.0,10,12,0
T4ANA1610,534.0,534.0,10,12,0
T4ANA1910,534.0,534.0,10,12,0
T4ANA0120,536.0,536.0,10,12,0
T4ANA0220,536.0,536.0,10,12,0
T4ANA0520,536.0,536.0,10,12,0
T4ANA1420,536.0,536.0,10,12,0
T4ANA1720,536.0,536.0,10,12,0
T4ANA1820,536.0,536.0,10,12,0
T4TOR0125,539.0,539.0,10,3,0
T4TOR0225,539.0,539.0,10,3,0
T4TOR0525,539.0,539.0,10,3,0
T4TOR1425,539.0,539.0,10,3,0
T4TOR1725,539.0,539.0,10,2,0
T4TOR1825,539.0,539.0,10,2,0
T4ANA0121,544.0,544.0,10,12,0
T4ANA0221,544.0,544.0,10,12,0
T4ANA0521,544.0,544.0,10,12,0
T4ANA1421,544.0,544.0,10,12,0
T4ANA1721,544.0,544.0,10,12,0
T4ANA1821,544.0,544.0,10,12,0
T4TOR0312,544.0,544.0,10,3,0
T4TOR0412,544.0,544.0,10,3,0
T4TOR0612,544.0,544.0,10,3,0
T4TOR1512,544.0,544.0,10,3,0
T4TOR1612,544.0,544.0,10,3,0
T4TOR1912,544.0,544.0,10,2,0
T4TOR0126,547.0,547.0,10,3,0
T4TOR0226,547.0,547.0,10,3,0
T4TOR0526,547.0,547.0,10,3,0
T4TOR1426,547.0,547.0,10,3,0
T4TOR1726,547.0,547.0,10,2,0
T4TOR1826,547.0,547.0,10,2,0
T4ANA0122,552.0,552.0,10,12,0
T4ANA0222,552.0,552.0,10,12,0
T4ANA0522,552.0,552.0,10,12,0
T4ANA1422,552.0,552.0,10,12,0
T4ANA1722,552.0,552.0,10,12,0
T4ANA1822,552.0,552.0,10,12,0
T4ANA0311,553.0,553.0,10,12,0
T4ANA0411,553.0,553.0,10,12,0
T4ANA0611,553.0,553.0,10,12,0
T4ANA1511,553.0,553.0,10,12,0
T4ANA1611,553.0,553.0,10,12,0
T4ANA1911,553.0,553.0,10,12,0
T4TOR0127,555.0,555.0,10,3,0
