route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
302.3,44,B81,Sta. Coloma De G.(Can Franquesa - H. Esperit Sant),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=302,FFCC00,000000
305.5,44,B12,Montcada I R. (Pl. Lluís Companys - Badalona ,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=305,FFCC00,000000
307.6,44,B15,Sta. Coloma De G (Oliveres) - Badalona (Montigalà),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=307,FFCC00,000000
309.6,44,B17,Sta. Coloma De G. - Badalona,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=309,FFCC00,000000
310.4,44,B18,Sta. Coloma De G. (Pl. Vila) - Montcada I Reixac,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=310,FFCC00,000000
313.7,44,B20,Barcelona (Rda. Sant Pere) - Sta. Coloma De G.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=313,FFCC00,000000
318.6,44,B26,Badalona (Can Ruti) - Sant Adrià (Estació),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=318,FFCC00,000000
324.5,44,B1,Sta. Coloma De G. (Fondo)-Badalona (Pep Ventura),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=324,FFCC00,000000
325.5,44,B2,Badalona (Manresà - Hospital Esperit Sant),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=325,FFCC00,000000
326.4,44,B3,Badalona (Llefià - Les Guixeres),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=326,FFCC00,000000
327.4,44,B4,Badalona (Mas Ram - Montigalà),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=327,FFCC00,000000
328.7,44,B5,Badalona (H. Esperit Sant - Estació Rodalies),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=328,FFCC00,000000
329.4,44,B7,Badalona (Pomar/Estació Rodalies)-Sant Adrià De B ,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=329,FFCC00,000000
333.7,44,B6,Badalona (Estació Rodalies - H. Can Ruti),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=333,FFCC00,000000
349.2,34,SF3,Pl. Estació - Tanatori - Falguera,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=349,FFCC00,000000
361.2,47,88,Barcelona (Metro Paral·Lel) - El Prat De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=361,FFCC00,000000
367.1,44,N10,Sarrià - Vallvidrera - Les Planes,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=367,3366CC,FFFFFF
394.1,22,N18,Barcelona (Pl. Catalunya) - Aeroport Del Prat (Ter,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=394,3366CC,FFFFFF
395.1,44,N28,Collblanc - Pl. Catalunya - Port Olímpic,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=395,3366CC,FFFFFF
396.1,28,L30,Mas Lluí - Pl. Parador - Mas Lluí,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=396,FFCC00,000000
397.2,48,BCTE,Barcelona City Tour - Ruta Est (Verda),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=397,FFCC00,000000
398.2,48,BCTO,Barcelona City Tour - Ruta Oest (Taronja),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=398,FFCC00,000000
