stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
APV,,Cantallops d'Empord�,,42.4202364198345,2.925441064232032,,,,,,
APW,,els Banys de la Merc�,,42.36584413356262,2.896164219069602,,,,,,
APX,,Capmany,,42.37207907506605,2.922376593894788,,,,,,
APZ,,Queralbs,,42.34798931281427,2.1623519746220237,,,,,,
AQC,,Cass� de la Selva,,41.889707666385064,2.877206600166853,,,,,,
AQD,,Castellfollit de la Roca,,42.219123933331296,2.547199138415574,,,,,,
AQE,,Castell� d'Emp�ries,,42.2558549500874,3.076838176367524,,,,,,
AQF,,Empuriabrava,,42.26253541164102,3.102647625955937,,,,,,
AQI,,Castell d'Aro,,41.811940627450134,3.0547549247883405,,,,,,
AQJ,,Platja d'Aro,,41.81272033441588,3.062400663013315,,,,,,
AQK,,s'Agar�,,41.790818904390406,3.055495176127888,,,,,,
AQP,,Sant jordi - Internacional,,41.811940627450134,3.0547549247883405,,,,,,
AQT,,Cervi� de Ter,,42.06595344612869,2.909092063923867,,,,,,
AQU,,Raset,,42.06900505336016,2.9329127484122517,,,,,,
AQV,,Cistella,,42.26946271842512,2.8497101477190125,,,,,,
AQW,,Vilarig,,42.28674208338967,2.8340465097273775,,,,,,
AQX,,Siurana d'Empord�,,42.21093016837256,2.9958203883625054,,,,,,
ARB,,Colomers,,42.08360539435553,2.985890311462319,,,,,,
ARC,,Borgony� del Terri,,42.10112279292932,2.7910176009960765,,,,,,
ARD,,Cornell� del Terri,,42.086501910144506,2.8153445358779097,,,,,,
ARE,,Cor��,,41.98827920009451,3.015814987826571,,,,,,
ARF,,Casavells,,42.00076816695061,3.031720683842115,,,,,,
ARG,,Crespi�,,42.18793335901911,2.7997420628249117,,,,,,
ARH,,la Guixera,,42.205204809029695,2.7740306800409624,,,,,,
ARI,,Darnius,,42.36583412636871,2.8340692471950706,,,,,,
ARJ,,"Das (ctra. GIV-4033, pk 1,7) (A)",,42.36937332342106,1.8636155316344356,,,,,,
ARK,,l'Escala,,42.116110759334454,3.1363907391956327,,,,,,
ARM,,Espolla,,42.38684827203423,3.001907327709205,,,,,,
ARN,,Esponell�,,42.177234361062844,2.794968796949405,,,,,,
ARR,,Figueres (Pl. del Sol),,42.265824705431825,2.957440123853851,,,,,,
ARU,,Marca de l'Ham,,42.266889832820624,2.964460086267092,,,,,,
ARV,,Fla��,,42.04661749087957,2.9576471628769285,,,,,,
ARW,,Foix�,,42.04176173774976,3.0009907755336673,,,,,,
ARY,,Fontcoberta,,42.14452017302207,2.7696961987683375,,,,,,
AS,,les Gunyoles,,41.35368121962054,1.7818461162757309,,,,,,
ASA,,Fornells (N-II/ Hotel F. Park),,41.94386706229364,2.806406975875507,,,,,,
ASC,,Fornells (Pol. Ind/N-II),,41.93560306949427,2.798386240326793,,,,,,
ASD,,Forti�,,42.24405805324987,3.038327082877717,,,,,,
ASE,,Garrig�s,,42.19242133240444,2.952414777044855,,,,,,
ASF,,Tony�,,42.205370905724,2.976402406961818,,,,,,
ASG,,Vilajoan,,42.18043345704526,2.9514792648921246,,,,,,
ASH,,Ve�nat de Cases Noves,,42.1622426362495,2.956734857402924,,,,,,
ASI,,Arenys d'Empord�,,42.18043345704526,2.9514792648921246,,,,,,
ASJ,,Garrigoles,,42.10733436466313,3.0305642471575194,,,,,,
ASK,,Les Olives,,42.10432836276897,3.020887202811699,,,,,,
ASM,,"Ger (ctra. N-260, pk 187,3) (A)",,42.4101519457468,1.8455861254399653,,,,,,
ASO,,Hospital Josep Trueta,,41.99785628847209,2.819307837246824,,,,,,
ASP,,Pont Major,,42.01260100948651,2.8256669750119516,,,,,,
ASQ,,Vila-roja,,41.973048450770804,2.841368831954581,,,,,,
ASW,,F�brica Nestl�,,41.98988523063419,2.79257704382066,,,,,,
ATA,,Gombr�n,,42.246444532707805,2.0901194095057734,,,,,,
ATB,,Hostalric,,41.74514356272952,2.626037279580109,,,,,,
